Row,Record,Result,Reason
192,00655,skipped,"Manager ""00106"" not found"
193,00656,skipped,"Manager ""00106"" not found"
194,00657,skipped,"Manager ""00106"" not found"
195,00659,skipped,"Manager ""01076"" not found"
196,00661,skipped,"Manager ""00022"" not found"
197,00662,skipped,"Manager ""00106"" not found"
198,00664,skipped,"Manager ""00383"" not found"
199,00665,skipped,"Manager ""00473"" not found"
200,00666,skipped,"Manager ""00106"" not found"
201,00669,skipped,"Manager ""00341"" not found"
202,00673,skipped,"Manager ""00653"" not found"
203,00674,skipped,"Manager ""01027"" not found"
204,00676,skipped,"Manager ""00106"" not found"
205,00677,skipped,"Manager ""00360"" not found"
206,00678,skipped,"Manager ""00106"" not found"
207,00679,skipped,"Manager ""00360"" not found"
208,00680,skipped,"Manager ""00106"" not found"
209,00682,skipped,"Manager ""00106"" not found"
210,00683,skipped,"Manager ""00106"" not found"
211,00684,skipped,"Manager ""00106"" not found"
212,00685,skipped,"Manager ""00106"" not found"
213,00686,skipped,"Manager ""00106"" not found"
214,00687,skipped,"Manager ""00106"" not found"
215,00688,skipped,"Manager ""00106"" not found"
216,00690,skipped,"Manager ""00106"" not found"
217,00692,skipped,"Manager ""00383"" not found"
218,00695,skipped,"Manager ""00106"" not found"
219,00696,skipped,"Manager ""01076"" not found"
220,00705,skipped,"Manager ""00106"" not found"
221,00706,skipped,"Manager ""00106"" not found"
222,00707,skipped,"Manager ""00106"" not found"
223,00708,skipped,"Manager ""00106"" not found"
224,00709,skipped,"Manager ""00106"" not found"
225,00710,skipped,"Manager ""00106"" not found"
226,00711,skipped,"Manager ""00106"" not found"
227,00712,skipped,"Manager ""00106"" not found"
228,00713,skipped,"Manager ""00071"" not found"
229,00714,skipped,"Manager ""00243"" not found"
230,00716,skipped,"Manager ""00106"" not found"
231,00717,skipped,"Manager ""00022"" not found"
232,00718,skipped,"Manager ""00106"" not found"
233,00719,skipped,"Manager ""00653"" not found"
234,00720,skipped,"Manager ""00603"" not found"
235,00721,skipped,"Manager ""00603"" not found"
236,00722,skipped,"Manager ""00603"" not found"
237,00723,skipped,"Manager ""00738"" not found"
238,00724,skipped,"Manager ""00341"" not found"
239,00726,skipped,"Manager ""00339"" not found"
240,00727,skipped,"Manager ""00106"" not found"
241,00728,skipped,"Manager ""00106"" not found"
242,00729,skipped,"Manager ""00106"" not found"
243,00730,skipped,"Manager ""00106"" not found"
244,00731,skipped,"Manager ""00106"" not found"
245,00732,skipped,"Manager ""00106"" not found"
246,00733,skipped,"Manager ""00106"" not found"
247,00734,skipped,"Manager ""00106"" not found"
248,00735,skipped,"Manager ""00166"" not found"
249,00736,skipped,"Manager ""00144"" not found"
250,00737,skipped,"Manager ""00041"" not found"
251,00738,added,Added
252,00739,skipped,"Manager ""00342"" not found"
253,00741,skipped,"Manager ""00360"" not found"
254,00742,skipped,"Manager ""00106"" not found"
255,00743,skipped,"Manager ""00106"" not found"
256,00745,skipped,"Manager ""00071"" not found"
257,00746,skipped,"Manager ""00341"" not found"
258,00747,skipped,"Manager ""00652"" not found"
259,00748,skipped,"Manager ""00106"" not found"
260,00749,skipped,"Manager ""00603"" not found"
261,00750,skipped,"Manager ""00071"" not found"
262,00751,skipped,"Manager ""00041"" not found"
263,00752,skipped,"Manager ""00106"" not found"
264,00753,skipped,"Manager ""00144"" not found"
265,00754,skipped,"Manager ""00106"" not found"
266,00755,skipped,"Manager ""00106"" not found"
267,00756,skipped,"Manager ""00106"" not found"
268,00757,skipped,"Manager ""00589"" not found"
269,01027,added,Added
270,D0002,error,"Employee ID ""D0002"" already exists in the system (use Edit to update)"
